datetime,open,high,low,close,volume,trade_count,buy_volume
2026-03-11 00:31:00+00:00,70037.91,70045.87,70013.45,70017.74,0.07370846,7,0.09662295
2026-03-11 00:32:00+00:00,69978.07,69989.69,69887.48,69887.48,0.16587165,11,0.09358922
2026-03-11 00:33:00+00:00,69885.28,69903.88,69885.28,69903.88,0.26474354,17,3.0483940800000005
2026-03-11 00:34:00+00:00,69902.46,69906.15,69902.46,69906.15,0.00020934,2,0.00020934
2026-03-11 00:35:00+00:00,69899.15,69914.44,69899.15,69914.44,0.00209341,2,0.00209341
2026-03-11 00:36:00+00:00,69914.44,69914.44,69914.44,69914.44,0.02023384,7,0.05203384
2026-03-11 00:37:00+00:00,69970.4,70009.29,69970.39,70005.28,0.02473884,4,0.022268839999999998
2026-03-11 00:38:00+00:00,69981.18,69981.18,69958.4,69958.4,0.01407021,2,0.01407021
2026-03-11 00:39:00+00:00,69938.27,69938.27,69938.27,69938.27,0.0227,1,0.0227
2026-03-11 00:40:00+00:00,69938.6,69938.6,69938.6,69938.6,0.00040446,1,0.00040446
2026-03-11 00:41:00+00:00,69894.53,69894.53,69870.52,69877.76,0.75665976,11,0.0
2026-03-11 00:43:00+00:00,69840.95,69840.95,69840.95,69840.95,0.00074834,1,0.0
